Implementation and Backend,Version,Local Size,Number Of Heavyweight Threads,Median Runtime,Runtimes,Missed % of all Cache References,Cache Reference Count,Cache Miss Count,Total Application Execution Time (for 100 runs)
hipSYCL OpenMP,HDP,256,(4x4) 16,0.493410,0.358143 0.360195 0.361414 0.361469 0.361471 0.361490 0.361499 0.361558 0.361583 0.361584 0.361606 0.361608 0.361666 0.361693 0.361773 0.361805 0.361824 0.362765 0.369519 0.369670 0.370617 0.389665 0.398149 0.404450 0.413249 0.427915 0.429089 0.435213 0.439187 0.442098 0.447835 0.452410 0.469374 0.474281 0.475071 0.475606 0.476478 0.477193 0.480562 0.482376 0.482496 0.484931 0.485085 0.486805 0.491452 0.491584 0.491686 0.492288 0.492994 0.493365 0.493410 0.493509 0.493540 0.493584 0.493659 0.493870 0.494130 0.494282 0.494800 0.497379 0.497478 0.497643 0.497714 0.498833 0.500150 0.500262 0.500379 0.501200 0.501469 0.502265 0.502414 0.502476 0.502478 0.502501 0.502544 0.502561 0.502651 0.502655 0.502694 0.503123 0.504644 0.504682 0.504719 0.505304 0.505629 0.505657 0.506436 0.507489 0.509756 0.510741 0.511067 0.512061 0.512414 0.512696 0.512705 0.513140 0.513184 0.523518 0.539152 0.586447,0.039,107012644972,41387014,46.789675807
hipSYCL OpenMP,HDP,512,(2x2) 4,1.233269,1.223002 1.223038 1.223040 1.223092 1.223593 1.225300 1.225530 1.226821 1.226825 1.227183 1.227692 1.227923 1.227940 1.228661 1.229563 1.229719 1.229744 1.229845 1.229869 1.229870 1.229882 1.229925 1.229967 1.230070 1.230189 1.230293 1.230508 1.230509 1.231570 1.231571 1.231707 1.232762 1.232837 1.232857 1.232867 1.232876 1.232963 1.232975 1.232980 1.232993 1.233014 1.233031 1.233064 1.233109 1.233147 1.233164 1.233188 1.233198 1.233211 1.233236 1.233269 1.233289 1.233318 1.233458 1.233783 1.234070 1.234075 1.234253 1.234368 1.234475 1.234535 1.234554 1.234696 1.234745 1.235183 1.235302 1.235787 1.235838 1.235849 1.235959 1.236529 1.236671 1.237256 1.237681 1.237760 1.237772 1.238214 1.238645 1.238668 1.238843 1.238990 1.239143 1.239327 1.240383 1.240398 1.240552 1.240656 1.240924 1.240987 1.241337 1.243150 1.243562 1.245643 1.247121 1.248513 1.248939 1.249754 1.254056 1.261801 1.262525,0.038,107653155715,40605825,123.981564225
hipSYCL OpenMP,HDP,1024,(1x1) 1,4.714968,4.650244 4.652915 4.652948 4.653778 4.654257 4.654530 4.655130 4.655594 4.655608 4.655619 4.656319 4.656448 4.657666 4.658186 4.658333 4.658696 4.660468 4.660729 4.661213 4.661243 4.661857 4.662044 4.662296 4.663128 4.663687 4.664176 4.664844 4.664937 4.665145 4.668822 4.670826 4.674852 4.674959 4.675818 4.676808 4.676907 4.676986 4.677780 4.680513 4.680884 4.682025 4.683879 4.690557 4.691756 4.700685 4.703312 4.710109 4.710204 4.713585 4.714020 4.714968 4.715089 4.715158 4.715220 4.716033 4.716250 4.716480 4.717038 4.717271 4.717536 4.718083 4.718136 4.718175 4.718294 4.718478 4.718487 4.718889 4.719427 4.720015 4.720153 4.720688 4.720944 4.722004 4.722180 4.723648 4.724758 4.725000 4.725826 4.726042 4.726056 4.726668 4.727744 4.727865 4.727969 4.728417 4.728433 4.729100 4.732860 4.734216 4.736154 4.736316 4.746147 4.747296 4.747549 4.765574 4.767133 4.780328 4.788793 4.801045 4.802886,0.040,107737495674,42910413,470.698928795
hipSYCL OpenMP,WGP,1,(1x1) 1,4.864057,4.734404 4.739432 4.741510 4.742454 4.742723 4.743274 4.744499 4.746165 4.746363 4.747871 4.748424 4.748777 4.750303 4.750628 4.752278 4.752589 4.752771 4.755905 4.756165 4.756946 4.760933 4.761019 4.765525 4.766007 4.766872 4.772810 4.775141 4.784318 4.784889 4.788424 4.788554 4.789714 4.796051 4.796062 4.799761 4.801677 4.801974 4.805971 4.810137 4.811782 4.812274 4.813225 4.826331 4.830705 4.832829 4.846105 4.852876 4.855859 4.857209 4.860936 4.864057 4.875896 4.885515 4.890588 4.891973 4.901926 4.902407 4.911404 4.913903 4.914502 4.915324 4.919238 4.924727 4.932093 4.949743 4.957438 4.963665 4.965763 4.972294 4.972889 5.005980 5.007110 5.040278 5.051083 5.068337 5.070598 5.121405 5.146654 5.152787 5.171647 5.181365 5.209878 5.244063 5.269036 5.321291 5.325130 5.330292 5.345172 5.345371 5.362915 5.370900 5.418047 5.418324 5.422385 5.582136 5.600226 5.608655 5.819459 5.986682 6.612413,0.726,114349174186,829922704,498.485172820
hipSYCL OpenMP,WGP,2,(2x2) 4,1.426806,1.402502 1.425194 1.425244 1.425367 1.425415 1.425515 1.425575 1.425620 1.425634 1.425642 1.425694 1.425714 1.425728 1.425774 1.425792 1.425833 1.425834 1.425873 1.425929 1.425954 1.425961 1.425975 1.425994 1.425996 1.426009 1.426010 1.426011 1.426020 1.426071 1.426091 1.426120 1.426129 1.426138 1.426138 1.426156 1.426161 1.426180 1.426190 1.426207 1.426213 1.426255 1.426286 1.426305 1.426309 1.426356 1.426438 1.426529 1.426542 1.426562 1.426658 1.426806 1.427025 1.427153 1.427276 1.427341 1.427367 1.427376 1.427393 1.427472 1.427504 1.427529 1.427541 1.427559 1.427661 1.427718 1.427790 1.427908 1.429918 1.429932 1.430172 1.430480 1.434481 1.436757 1.436804 1.437027 1.437160 1.437182 1.437209 1.437264 1.437332 1.437439 1.437449 1.437468 1.437529 1.437581 1.437601 1.437623 1.437625 1.437722 1.437806 1.437835 1.437841 1.437896 1.437908 1.437933 1.437959 1.440960 1.441274 1.449675 1.526818,0.324,115348079210,373908616,143.471460299
hipSYCL OpenMP,WGP,4,(4x4)  16,0.637524,0.559104 0.591660 0.627873 0.627914 0.628070 0.628113 0.628246 0.628248 0.628418 0.628431 0.628456 0.628517 0.628560 0.628619 0.628655 0.631949 0.632082 0.632126 0.632284 0.632442 0.632532 0.632553 0.637037 0.637054 0.637084 0.637099 0.637126 0.637129 0.637149 0.637182 0.637183 0.637197 0.637207 0.637221 0.637248 0.637267 0.637281 0.637284 0.637297 0.637310 0.637327 0.637370 0.637371 0.637400 0.637401 0.637413 0.637415 0.637430 0.637475 0.637509 0.637524 0.637583 0.637760 0.638345 0.638390 0.638469 0.638536 0.638540 0.638544 0.638617 0.638681 0.638693 0.638735 0.638786 0.638795 0.638905 0.638925 0.638943 0.639437 0.639583 0.639741 0.640977 0.641027 0.641377 0.641402 0.641435 0.641476 0.641518 0.641531 0.641535 0.641609 0.641614 0.641615 0.641622 0.641642 0.641644 0.641696 0.641737 0.641740 0.641743 0.641773 0.641789 0.641848 0.641958 0.641964 0.642009 0.642021 0.645379 0.651033 0.651715,0.437,105549549835,461499684,64.031461566
hipSYCL OpenMP,WGP,8,(8x8) 64,0.988248,0.704836 0.706219 0.713313 0.726793 0.734233 0.736606 0.737084 0.741052 0.746776 0.770113 0.778088 0.789501 0.829840 0.844050 0.856065 0.870464 0.872499 0.875792 0.881428 0.885262 0.886884 0.892530 0.892903 0.904400 0.906589 0.911886 0.912617 0.914820 0.918526 0.919564 0.920250 0.922554 0.924148 0.928586 0.929426 0.941790 0.943643 0.949041 0.951305 0.957646 0.958761 0.960672 0.970496 0.970511 0.978705 0.983091 0.987662 0.987911 0.987932 0.988194 0.988248 0.993830 0.993962 1.003599 1.038041 1.064621 1.094053 1.098447 1.106626 1.110875 1.110880 1.124850 1.152940 1.162358 1.168433 1.170406 1.189308 1.216157 1.223197 1.244317 1.244526 1.246745 1.262585 1.263250 1.270699 1.295612 1.304052 1.311311 1.311312 1.312485 1.320002 1.320128 1.346646 1.357119 1.360047 1.361736 1.364939 1.379524 1.382925 1.383778 1.392067 1.393997 1.396084 1.403523 1.407887 1.415259 1.417084 1.419637 1.423698 1.535734,0.658,102555763234,102555763234,107.898315420
hipSYCL OpenMP,WGP,16,(16x16) 256,0.793638,0.699622 0.702239 0.708868 0.709444 0.709951 0.709983 0.718091 0.718335 0.720924 0.724478 0.726320 0.730515 0.731282 0.732490 0.740329 0.741022 0.741026 0.745379 0.745811 0.747415 0.748625 0.749913 0.750727 0.751324 0.751807 0.752279 0.754371 0.755032 0.755823 0.756240 0.757233 0.757659 0.759221 0.762315 0.767427 0.768062 0.768384 0.768576 0.770052 0.779096 0.779611 0.781052 0.781886 0.784070 0.786074 0.787410 0.787509 0.787865 0.787885 0.792256 0.793638 0.795406 0.809508 0.810115 0.816474 0.817562 0.821749 0.829297 0.829584 0.831240 0.835446 0.836169 0.843683 0.846455 0.849058 0.849616 0.849851 0.851202 0.853109 0.857404 0.857414 0.875256 0.878622 0.881699 0.896003 0.916520 0.920497 0.928973 0.930772 0.932757 0.935225 0.965663 0.975452 0.976397 0.981850 0.992253 0.996463 1.039903 1.042103 1.048328 1.059618 1.067339 1.079021 1.168091 1.171465 1.259020 1.271669 1.369383 1.383411 1.455240,1.995,112275770443,2239377396,90.027295211
hipSYCL OpenMP,WGP,32,(32x32) 1024,,,,,,
hipSYCL OpenMP,WGP,64,(64x64) 4096,,,,,,
hipSYCL OpenMP,WGP,128,,,,,,,
hipSYCL OpenMP,WGP,256,,,,,,,
hipSYCL OpenMP,WGP,512,,,,,,,
hipSYCL OpenMP,WGP,1024,,,,,,,
triSYCL OpenMP,Serial,-,1,4.645804,4.645077 4.645206 4.645335 4.645359 4.645361 4.645391 4.645430 4.645467 4.645483 4.645484 4.645485 4.645515 4.645515 4.645534 4.645534 4.645548 4.645571 4.645574 4.645581 4.645584 4.645597 4.645601 4.645614 4.645614 4.645625 4.645637 4.645658 4.645660 4.645661 4.645667 4.645679 4.645689 4.645691 4.645694 4.645695 4.645695 4.645705 4.645714 4.645726 4.645734 4.645735 4.645749 4.645752 4.645754 4.645761 4.645764 4.645768 4.645781 4.645788 4.645801 4.645804 4.645808 4.645809 4.645815 4.645823 4.645827 4.645834 4.645835 4.645836 4.645839 4.645855 4.645870 4.645871 4.645873 4.645877 4.645882 4.645883 4.645883 4.645884 4.645885 4.645891 4.645934 4.645934 4.645935 4.645946 4.645949 4.645953 4.645960 4.645973 4.646017 4.646024 4.646032 4.646063 4.646074 4.646080 4.646083 4.646104 4.646104 4.646105 4.646106 4.646106 4.646138 4.646146 4.646169 4.646183 4.646186 4.646209 4.646268 4.646303 4.646360,0.009,107641603587,9524451,464.826417674
triSYCL OpenMP,BKP,-,Unknown — htop indicates at least 32 since all cores were used,0.245434,0.241700 0.242152 0.242209 0.242309 0.242424 0.242599 0.242691 0.242706 0.242807 0.242983 0.243141 0.243319 0.243394 0.243629 0.243688 0.243772 0.243816 0.243882 0.244007 0.244053 0.244194 0.244204 0.244243 0.244336 0.244359 0.244364 0.244395 0.244427 0.244428 0.244483 0.244508 0.244636 0.244648 0.244667 0.244668 0.244699 0.244724 0.244816 0.244876 0.244915 0.244945 0.245138 0.245168 0.245180 0.245205 0.245235 0.245248 0.245281 0.245347 0.245430 0.245434 0.245441 0.245520 0.245535 0.245551 0.245578 0.245637 0.245688 0.245810 0.245985 0.246021 0.246310 0.246329 0.246408 0.246456 0.246459 0.246549 0.246618 0.246634 0.246648 0.246679 0.246750 0.246929 0.247010 0.247050 0.248282 0.248419 0.248440 0.248668 0.248991 0.250077 0.250582 0.250698 0.250850 0.251330 0.251799 0.251801 0.252160 0.252188 0.253284 0.254150 0.254777 0.254785 0.254971 0.255062 0.256205 0.258165 0.258884 0.259473 0.304713,0.064,68279227916,43392085,25.554703405
triSYCL OpenMP,HDP,1,(1024x1024) 1048576,4.898455,4.891556 4.891599 4.891787 4.891910 4.891989 4.892032 4.892064 4.892229 4.892478 4.892597 4.892610 4.892722 4.892908 4.892922 4.893079 4.893343 4.893410 4.893530 4.893622 4.893733 4.893759 4.893772 4.894071 4.894128 4.894142 4.894268 4.894527 4.894583 4.894587 4.894679 4.894774 4.895063 4.895297 4.895440 4.895557 4.895673 4.895837 4.896124 4.896220 4.896268 4.896306 4.896370 4.896392 4.896626 4.896847 4.896951 4.897801 4.897856 4.898166 4.898205 4.898455 4.898485 4.899132 4.899180 4.899310 4.899425 4.899526 4.899574 4.900315 4.901136 4.901255 4.901394 4.901408 4.901424 4.901449 4.902340 4.902566 4.903532 4.903856 4.903992 4.905047 4.905371 4.905947 4.906018 4.906647 4.906954 4.906961 4.907026 4.907225 4.907248 4.907346 4.907410 4.907700 4.908303 4.908335 4.908348 4.908467 4.908593 4.908641 4.908691 4.908834 4.909018 4.909148 4.909358 4.910178 4.910429 4.910581 4.910913 4.910959 4.911587,0.028,107861959964,30540960,490.535168794
triSYCL OpenMP,HDP,2,(512x512) 262144,,,,,,
triSYCL OpenMP,HDP,4,(256x256) 65536,,,,,,
triSYCL OpenMP,HDP,8,(128x128) 16384,,,,,,
triSYCL OpenMP,HDP,16,(64x64) 4096,,,,,,
triSYCL OpenMP,HDP,32,(32x32) 1024,,,,,,
triSYCL OpenMP,HDP,64,(16x16) 256,,,,,,
triSYCL OpenMP,HDP,128,(8x8) 64,,,,,,
triSYCL OpenMP,HDP,256,(4x4) 16,,,,,,
triSYCL OpenMP,HDP,512,(2x2) 4,,,,,,
triSYCL OpenMP,HDP,1024,(1x1) 1,,,,,,
triSYCL OpenMP,WGP,1,1,4.871694,4.862757 4.863573 4.864110 4.864317 4.865396 4.865662 4.865781 4.866310 4.866404 4.866512 4.866685 4.866699 4.867001 4.867074 4.867563 4.867636 4.867742 4.867958 4.868189 4.868209 4.868227 4.868307 4.868340 4.868444 4.868613 4.868937 4.868957 4.868960 4.869105 4.869209 4.869231 4.869265 4.869470 4.869556 4.869699 4.869735 4.869737 4.869958 4.870076 4.870458 4.870507 4.870578 4.870609 4.870758 4.870981 4.871163 4.871291 4.871512 4.871530 4.871554 4.871694 4.871714 4.871757 4.871857 4.871866 4.871942 4.872046 4.872237 4.872419 4.872462 4.872541 4.872991 4.873196 4.873209 4.873655 4.873903 4.874160 4.874224 4.874401 4.874419 4.874450 4.874627 4.874795 4.874796 4.874866 4.874894 4.875215 4.875319 4.875380 4.875407 4.875569 4.875756 4.875892 4.875976 4.876779 4.877022 4.877254 4.877344 4.877785 4.877795 4.877982 4.880555 4.880875 4.881013 4.881530 4.881690 4.882855 4.882999 4.887704 4.898739,0.025,107849164202,27118029,488.024826509
triSYCL OpenMP,WGP,2,2 — measured 4,1.722595,1.591943 1.594975 1.595444 1.598608 1.599392 1.614875 1.617468 1.618611 1.619626 1.620338 1.620552 1.620641 1.620657 1.621291 1.621672 1.626014 1.626537 1.630773 1.647276 1.653268 1.656139 1.666698 1.666764 1.666813 1.669859 1.670096 1.678031 1.680730 1.683887 1.684601 1.687154 1.687368 1.698771 1.701516 1.703139 1.704481 1.704972 1.705148 1.708000 1.709035 1.711156 1.711762 1.712420 1.712751 1.714723 1.714857 1.715905 1.719337 1.720551 1.721018 1.722595 1.722958 1.723709 1.729330 1.731459 1.737046 1.738923 1.742826 1.744754 1.748260 1.748272 1.749889 1.752993 1.753224 1.753348 1.754280 1.762048 1.763903 1.764739 1.766258 1.767662 1.767941 1.768567 1.769899 1.770244 1.770733 1.771545 1.771886 1.774543 1.774913 1.774923 1.775016 1.775277 1.775845 1.776516 1.776896 1.777846 1.780041 1.780450 1.780511 1.780716 1.780754 1.780837 1.780843 1.781635 1.782857 1.783866 1.785932 1.787018 1.796264,0.777,109035598597,847371199,171.943426513
triSYCL OpenMP,WGP,4,4  — measured 16,0.527288,0.440212 0.441172 0.463091 0.463419 0.467956 0.468248 0.469188 0.470655 0.471272 0.472007 0.474958 0.475888 0.478754 0.479167 0.479204 0.479568 0.479934 0.479991 0.480148 0.481113 0.482357 0.482917 0.484921 0.485033 0.486332 0.487813 0.487963 0.488570 0.488977 0.490284 0.492515 0.498424 0.498425 0.499951 0.501570 0.503721 0.504937 0.505392 0.507503 0.509825 0.510834 0.511737 0.514462 0.515108 0.517625 0.519327 0.523270 0.525023 0.526013 0.526361 0.527288 0.528311 0.528834 0.529249 0.529346 0.530649 0.530748 0.530889 0.531270 0.533811 0.535269 0.535861 0.536086 0.536983 0.538670 0.538733 0.540132 0.540874 0.541523 0.542628 0.543165 0.545978 0.546220 0.546561 0.547163 0.550892 0.552729 0.553470 0.556703 0.557092 0.559844 0.560930 0.562286 0.562356 0.563397 0.566017 0.566444 0.570883 0.572857 0.576653 0.577050 0.577184 0.586144 0.593314 0.600962 0.602287 0.605934 0.621567 0.633613 0.663827,0.467,107468776019,502089660,52.917422299
